Date,HomeTeam,AwayTeam,1,X,2,Result
2022-03-20,Leicester,Brentford,2.15,3.4,3.4,1
2022-03-20,Tottenham,West Ham,1.72,3.8,4.75,1
2022-04-02,Wolves,Aston Villa,3.0,3.1,2.55,1
2022-04-02,Leeds,Southampton,2.37,3.75,2.75,X
2022-04-02,Chelsea,Brentford,1.33,5.0,10.0,2
2022-04-02,Man United,Leicester,1.5,4.5,6.0,X
2022-04-02,Brighton,Norwich,1.5,4.0,7.0,X
2022-04-02,Liverpool,Watford,1.12,9.5,17.0,1
2022-04-02,Burnley,Man City,15.0,6.5,1.2,2
2022-04-03,West Ham,Everton,1.75,3.8,4.5,1
2022-04-03,Tottenham,Newcastle,1.5,4.33,6.5,1
2022-04-04,Crystal Palace,Arsenal,4.0,3.4,1.95,1
2022-04-06,Burnley,Everton,2.62,3.1,2.87,1
2022-04-08,Newcastle,Wolves,2.25,3.1,3.4,1
2022-04-09,Aston Villa,Tottenham,3.2,3.4,2.25,2
2022-04-09,Everton,Man United,4.6,3.75,1.75,1
2022-04-09,Arsenal,Brighton,1.61,3.8,5.75,2
2022-04-09,Southampton,Chelsea,3.8,3.6,1.95,2
2022-04-09,Watford,Leeds,2.7,3.4,2.55,2
2022-04-10,Leicester,Crystal Palace,2.37,3.3,2.9,1
2022-04-10,Norwich,Burnley,2.87,3.2,2.55,1
2022-04-10,Brentford,West Ham,2.62,3.3,2.62,1
2022-04-10,Man City,Liverpool,2.0,3.75,3.5,X
2022-04-16,Tottenham,Brighton,1.53,4.0,6.5,2
2022-04-16,Man United,Norwich,1.25,6.5,10.0,1
2022-04-16,Southampton,Arsenal,3.8,3.6,1.95,1
2022-04-16,Watford,Brentford,2.7,3.3,2.55,2
2022-04-17,Newcastle,Leicester,2.2,3.4,3.3,1
2022-04-17,West Ham,Burnley,1.7,3.8,5.0,X
2022-04-19,Liverpool,Man United,1.4,5.0,7.0,1
2022-04-20,Newcastle,Crystal Palace,2.25,3.4,3.25,1
2022-04-20,Man City,Brighton,1.16,7.0,17.0,1
2022-04-20,Chelsea,Arsenal,1.83,3.6,4.33,2
2022-04-20,Everton,Leicester,2.25,3.4,3.25,X
2022-04-21,Burnley,Southampton,2.75,3.25,2.62,1
2022-04-23,Norwich,Newcastle,3.5,3.3,2.15,2
2022-04-23,Man City,Watford,1.1,10.0,26.0,1
2022-04-23,Leicester,Aston Villa,2.8,3.4,2.5,X
2022-04-23,Brentford,Tottenham,4.33,3.5,1.85,X
2022-04-23,Arsenal,Man United,2.05,3.5,3.5,1
2022-04-24,Burnley,Wolves,2.7,3.0,2.87,1
2022-04-24,Chelsea,West Ham,1.5,4.33,6.5,1
2022-04-24,Liverpool,Everton,1.18,7.0,15.0,1
2022-04-24,Brighton,Southampton,2.1,3.4,3.6,X
2022-04-25,Crystal Palace,Leeds,2.05,3.5,3.5,X
2022-04-28,Man United,Chelsea,3.2,3.4,2.25,X
2022-04-30,Newcastle,Liverpool,8.5,5.0,1.36,2
2022-04-30,Aston Villa,Norwich,1.4,4.5,9.0,1
2022-04-30,Watford,Burnley,2.6,3.3,2.75,2
2022-04-30,Wolves,Brighton,2.7,3.2,2.75,2
2022-04-30,Leeds,Man City,8.5,6.0,1.3,2
2022-04-30,Southampton,Crystal Palace,2.4,3.3,3.1,2
2022-05-01,Everton,Chelsea,5.0,3.6,1.75,1
2022-05-01,Tottenham,Leicester,1.44,4.75,7.0,1
2022-05-01,West Ham,Arsenal,4.33,3.8,1.8,2
2022-05-02,Man United,Brentford,1.72,4.0,4.5,1
2022-05-07,Burnley,Aston Villa,3.0,3.3,2.4,2
2022-05-07,Chelsea,Wolves,1.33,5.0,9.5,X
2022-05-07,Crystal Palace,Watford,1.65,4.0,5.0,1
2022-05-07,Brighton,Man United,2.8,3.5,2.45,1
2022-05-07,Liverpool,Tottenham,1.4,5.0,7.0,X
2022-05-07,Brentford,Southampton,2.15,3.5,3.3,1
2022-05-08,Arsenal,Leeds,1.45,4.5,7.0,1
2022-05-08,Leicester,Everton,2.6,3.3,2.75,2
2022-05-08,Norwich,West Ham,4.5,3.8,1.75,2
2022-05-08,Man City,Newcastle,1.16,7.0,17.0,1
2022-05-10,Aston Villa,Liverpool,7.5,4.75,1.4,2
2022-05-11,Wolves,Man City,11.0,6.0,1.25,2
2022-05-11,Watford,Everton,4.2,3.6,1.83,X
2022-05-11,Leeds,Chelsea,4.75,4.2,1.65,2
2022-05-11,Leicester,Norwich,1.44,4.75,7.0,1
2022-05-12,Tottenham,Arsenal,2.05,3.75,3.5,1
2022-05-15,Wolves,Norwich,1.45,4.75,6.5,X
2022-05-15,Watford,Leicester,3.8,3.5,1.95,2
2022-05-15,West Ham,Man City,7.5,5.0,1.4,X
2022-05-15,Aston Villa,Crystal Palace,2.0,3.5,3.75,X
2022-05-15,Tottenham,Burnley,1.33,5.25,9.0,1
2022-05-15,Everton,Brentford,2.05,3.6,3.5,2
2022-05-15,Leeds,Brighton,2.62,3.5,2.62,X
2022-05-16,Newcastle,Arsenal,4.33,3.6,1.83,1
2022-05-17,Southampton,Liverpool,7.5,5.5,1.33,2
2022-05-19,Chelsea,Leicester,1.4,4.75,8.0,X
2022-05-19,Everton,Crystal Palace,1.9,3.4,4.33,1
2022-05-19,Aston Villa,Burnley,2.05,3.5,3.6,X
2022-05-22,Burnley,Newcastle,2.25,3.4,3.2,2
2022-05-22,Arsenal,Everton,1.36,4.75,9.0,1
2022-05-22,Brentford,Leeds,2.45,3.8,2.62,2
2022-05-22,Brighton,West Ham,2.37,3.5,2.9,1
2022-05-22,Liverpool,Wolves,1.14,8.5,15.0,1
2022-05-22,Chelsea,Watford,1.18,7.5,15.0,1
2022-05-22,Leicester,Southampton,1.85,4.0,3.8,1
2022-05-22,Crystal Palace,Man United,3.0,3.6,2.25,1
2022-05-22,Man City,Aston Villa,1.16,8.0,17.0,1
2022-05-22,Norwich,Tottenham,9.5,6.5,1.25,2
2022-08-05,Crystal Palace,Arsenal,4.2,3.6,1.85,2
2022-08-06,Fulham,Liverpool,11.0,6.0,1.25,X
2022-08-06,Bournemouth,Aston Villa,3.75,3.5,2.0,1
2022-08-06,Leeds,Wolves,2.25,3.4,3.2,1
2022-08-06,Newcastle,Nott'm Forest,1.66,3.8,5.25,1
2022-08-06,Tottenham,Southampton,1.33,5.5,8.5,1
2022-08-06,Everton,Chelsea,5.5,4.0,1.61,2
2022-08-07,Leicester,Brentford,2.0,3.75,3.5,X
2022-08-07,Man United,Brighton,1.6,4.2,5.25,2
2022-08-07,West Ham,Man City,8.0,5.0,1.36,2
2022-08-13,Aston Villa,Everton,1.8,3.5,4.75,1
2022-08-13,Man City,Bournemouth,1.06,13.0,29.0,1
2022-08-13,Arsenal,Leicester,1.53,4.33,5.75,1
2022-08-13,Brighton,Newcastle,2.45,3.2,3.0,X
2022-08-13,Wolves,Fulham,2.3,3.3,3.2,X
2022-08-13,Brentford,Man United,3.75,3.5,2.0,1
2022-08-13,Southampton,Leeds,2.25,3.5,3.1,X
2022-08-14,Nott'm Forest,West Ham,4.2,3.6,1.85,1
2022-08-14,Chelsea,Tottenham,2.25,3.4,3.2,X
2022-08-15,Liverpool,Crystal Palace,1.18,6.75,16.0,X
2022-08-20,Leicester,Southampton,1.83,4.0,4.0,2
2022-08-20,Bournemouth,Arsenal,8.0,4.75,1.4,2
2022-08-20,Fulham,Brentford,2.45,3.4,2.9,1
2022-08-20,Everton,Nott'm Forest,1.9,3.6,4.0,X
2022-08-20,Crystal Palace,Aston Villa,2.5,3.25,2.9,1
2022-08-20,Tottenham,Wolves,1.4,4.75,7.5,1
2022-08-21,West Ham,Brighton,2.3,3.4,3.1,2
2022-08-21,Leeds,Chelsea,5.75,4.5,1.53,1
2022-08-21,Newcastle,Man City,7.5,5.0,1.36,X
2022-08-22,Man United,Liverpool,5.25,4.33,1.6,1
2022-08-27,Brighton,Leeds,1.9,3.8,3.8,1
2022-08-27,Southampton,Man United,4.2,4.0,1.8,2
2022-08-27,Liverpool,Bournemouth,1.1,10.0,26.0,1
2022-08-27,Brentford,Everton,2.0,3.5,3.75,X
2022-08-27,Man City,Crystal Palace,1.18,7.5,13.0,1
2022-08-27,Chelsea,Leicester,1.4,5.0,7.0,1
